ParticipantId,Town/City Size,Age,Community Type,Education,Occupation Field,Relationship/Marital Status,Political Party,Ethnicity,Migrant Status,Personal Income,Country Of Residence,Household Income,Years of Residence,Race,Employment Status,all_use,all_dd_1,all_dd_2,all_dd_3,all_dd_4,thoughts_BC_A,feel_BC_A,battery_BC_A_1,battery_BC_A_2,battery_BC_A_3,feel_OS_A,battery_OS_A_1,battery_OS_A_2,battery_OS_A_3,feel_DS_A,battery_DS_A_1,battery_DS_A_2,battery_DS_A_3,feel_HD_A,battery_HD_A_1,battery_HD_A_2,battery_HD_A_3,thoughts_A_compare,feel_A_compare,like_A_compare,stands_A_compare,thoughts_EX_B,feel_EX_B,battery_EX_B_1,battery_EX_B_2,battery_EX_B_3,feel_DS_B,battery_DS_B_1,battery_DS_B_2,battery_DS_B_3,feel_HD_B,battery_HD_B_1,battery_HD_B_2,battery_HD_B_3,feel_OS_B,battery_OS_B_1,battery_OS_B_2,battery_OS_B_3,thoughts_B_compare,feel_B_compare,like_B_compare,If_stand_out,thoughts_YOU_C,like_YOU_C,battery_YOU_C_1,battery_YOU_C_2,battery_YOU_C_3,feel_OS_C,battery_OS_C_1,battery_OS_C_2,battery_OS_C_3,feel_HD_C,battery_HD_C_1,battery_HD_C_2,battery_HD_C_3,feel_DS_C,battery_DS_C_1,battery_DS_C_2,battery_DS_C_3,thoughts_C_compare,feel_C_compare,like_C_compare,stands_C_compare,thoughts_AXE_D,feel_AXE_D,battery_AXE_D_1,battery_AXE_D_2,battery_AXE_D_3,feel_HD_D,QID60_1,QID60_2,QID60_3,feel_DS_D,battery_DS_D_1,battery_DS_D_2,battery_DS_D_3,feel_OS_D,battery_OS_D_1,battery_OS_D_2,battery_OS_D_3,treatment,treatment_YOU,treatment_EX
8ABE2545D0FB4AAFB8842C52EAAE0DD3,"City 50,000 - 99,000",26,"Urban – Densely populated, city or large town","Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)","Science, Technology, Engineering & Mathematics",Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$20,000-$29,999",United States,"$10,000-$19,999",My whole life,White,Part-time,I use deodorant,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good quality,Like it,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Somewhat Like it,Agree,Somewhat Agree,Somewhat Agree,Somewhat Like it,Agree,Somewhat Agree,Agree,Nice outlook,5,Like it,Does not stand out from the competition,,,,,,,,,,,,,,,,,,,1,
D2B4DC5E4ACA453CA2CF4EB72E5851B9,"City 200,000+",47,"Urban – Densely populated, city or large town","Bachelor's degree (for example: BA, AB, BS)",Information Technology,Married,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$60,000-$69,999",United States,"$60,000-$69,999",My whole life,White,Full-time,I use deodorant,3,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Whats the effect,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Dislike it,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Like it,Somewhat Agree,Neutral,Neutral,0,0,0
6B6F69C63B104A08B2358896C7C4CE2B,"City 50,000 - 99,000",40,"Suburban – Mainly residential, bordering a city or large town",High school graduate - high school diploma or the equivalent (for example: GED),I’d Rather Not Say,Single,Something else,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$20,000-$29,999",United States,"$20,000-$29,999",My whole life,White,Full-time,I use deodorant,4,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boring,Strongly Dislike it,Disagree,Disagree,Disagree,Somewhat Like it,Neutral,Neutral,Neutral,Somewhat Like it,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,boring and stupid,2,Dislike it,Does not stand out from the competition,,,,,,,,,,,,,,,,,,,1,
BDAC96DA199046C9B8D0103D232FBDE1,"City 200,000+",41,"Urban – Densely populated, city or large town","Some college, but no degree",Arts,Single,Independent,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$20,000-$29,999",United States,"$20,000-$29,999",My whole life,Black or African American,Part-time,I use deodorant,3,2,4,1,"immature, dumb, and not for me",Strongly Dislike it,Strongly Disgaree,Strongly Disgaree,Strongly Disgaree,Neutral,Strongly Disgaree,Strongly Disgaree,Strongly Disgaree,Neutral,Strongly Disgaree,Strongly Disgaree,Strongly Disgaree,Somewhat Like it,Strongly Disgaree,Strongly Disgaree,Strongly Disgaree,"immature, dumb, and not for me.",1,Strongly Dislike it,Does not stand out from the competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
24C4003980C9467EAA40B3671E1C454B,"City 20,000 - 49,000",32,"Suburban – Mainly residential, bordering a city or large town","Bachelor's degree (for example: BA, AB, BS)",Finance,Married,Independent,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$90,000-$99,999",United States,"$90,000-$99,999",My whole life,White,Full-time,I use deodorant,2,1,4,3,,,,,,,,,,,,,,,,,,,,,,I do not like the tagline at all. I do not want to be reminded of my ex every day when I use a product.,Dislike it,Neutral,Strongly Disgaree,Disagree,Strongly Dislike it,Strongly Disgaree,Strongly Disgaree,Strongly Disgaree,Strongly Like it,Strongly Agree,Agree,Neutral,Strongly Like it,Strongly Agree,Agree,Neutral,"I think its super cringe, and I would not buy the product with the new proposed tagline. ",1,Strongly Dislike it,Stands out from the competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CB4076485DBF43DB877AE8C2633A1B1F,"City 200,000+",52,"Suburban – Mainly residential, bordering a city or large town","Associate degree (for example: AA, AS)",Information Technology,Separated,Democrat,"Yes, Mexican, Mexican Am., Chicano",Both I and my parents were born in the United States,"$50,000-$59,999",United States,"$50,000-$59,999",Over 20 years,An ethnicity not listed here,Full-time,I use deodorant,4,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rebranding old shit ,Strongly Dislike it,Strongly Disgaree,Strongly Disgaree,Strongly Disgaree,Neutral,Somewhat Agree,Neutral,Neutral,Strongly Like it,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Dislike it,Strongly Disgaree,Strongly Disgaree,Strongly Disgaree,0,0,0
3F38F252286247618485E879DFAFAD45,"City 200,000+",42,"Urban – Densely populated, city or large town","Bachelor's degree (for example: BA, AB, BS)",Hospitality & Tourism,In a relationship,Independent,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$20,000-$29,999",United States,"$20,000-$29,999",Over 20 years,White,Full-time,I use deodorant,4,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It not really meaningful to me.,Somewhat Dislike it,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Dislike it,Neutral,Somewhat Disagree,Disagree,Neutral,Neutral,Somewhat Agree,Neutral,Like it,Agree,Somewhat Agree,Somewhat Agree,0,0,0
4C81EAACF45F43F4A1E2AE4B332C10D9,"City 200,000+",58,"Suburban – Mainly residential, bordering a city or large town","Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Finance,Single,Independent,"No, not of Hispanic, Latino, or Spanish origin","I was born in the United States, but one of my parents was not","$40,000-$49,999",United States,"$40,000-$49,999",My whole life,White,Full-time,I use deodorant,3,4,2,1,I might try it ,Somewhat Like it,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Like it,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Like it,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Like it,Strongly Agree,Strongly Agree,Strongly Agree,It's new and cool,5,Somewhat Like it,Stands out from the competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
4F666DDEF59140568082EC4FB22FF502,"City 50,000 - 99,000",41,"Suburban – Mainly residential, bordering a city or large town","Associate degree (for example: AA, AS)",Marketing and Sales,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$60,000-$69,999",United States,"$60,000-$69,999",My whole life,White,Full-time,I use deodorant,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mostly like the people and another i like it,Somewhat Like it,Agree,Agree,Agree,Like it,Agree,Agree,Agree,Like it,Agree,Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree, I Like the product,6,Like it,Stands out from the competition,,,,,,,,,,,,,,,,,,,1,
645C0B80DEB045329073F5410C20AF54,"City 50,000 - 99,000",45,"Suburban – Mainly residential, bordering a city or large town","Associate degree (for example: AA, AS)",Retail,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$20,000-$29,999",United States,"$60,000-$69,999",My whole life,White,Unemployed,I use deodorant,3,4,1,2,I think it's catchy and young men will relate to it. It positions the product as masculine and a must-have for guys.,Somewhat Like it,Somewhat Agree,Strongly Agree,Agree,Somewhat Like it,Strongly Agree,Neutral,Somewhat Agree,Strongly Like it,Strongly Agree,Strongly Agree,Strongly Agree,Like it,Strongly Agree,Somewhat Agree,Strongly Agree,The new tagline is much better because it speaks to the impact that the product is already having on society. The old tagline is too potential-based and the new tagiline is clearly masculine compared to the ambigous old tagline.,7,Like it,Stands out from the competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
